Accession.ID,Data.Source,Related.ID,Nuc.Completeness,Sequence.Length,Sequence.Quality,Host,Location,region_exposure,country_exposure,division_exposure
EPI_ISL_417169,GISAID,"EPI_ISL_417169, ",Complete,29903,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417170,GISAID,"EPI_ISL_417170, ",Complete,29903,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417171,GISAID,"EPI_ISL_417171, ",Complete,29903,High,Homo sapiens,United States / Washington / King County,North America,USA,Washington
EPI_ISL_417172,GISAID,"EPI_ISL_417172, ",Complete,29903,High,Homo sapiens,United States / Washington / King County,North America,USA,Washington
EPI_ISL_417175,GISAID,"EPI_ISL_417175, ",Complete,29903,High,Homo sapiens,United States / Washington / Grant County,North America,USA,Washington
EPI_ISL_417178,GISAID,"EPI_ISL_417178, ",Complete,29903,High,Homo sapiens,China / Hong Kong,Asia,China,Hong Kong
EPI_ISL_417185,GISAID,"EPI_ISL_417185, ",Complete,29903,High,Homo sapiens,China / Hong Kong,Asia,China,Hong Kong
EPI_ISL_417186,GISAID,"EPI_ISL_417186, ",Complete,29903,High,Homo sapiens,South Africa / KZN,Africa,South Africa,KwaZulu-Natal
EPI_ISL_417187,GISAID,"EPI_ISL_417187, ",Complete,29903,High,Homo sapiens,China / Hong Kong,Asia,China,Hong Kong
EPI_ISL_417188,GISAID,"EPI_ISL_417188, ",Complete,29903,High,Homo sapiens,China / Hong Kong,Asia,China,Hong Kong
EPI_ISL_417193,GISAID,"EPI_ISL_417193, ",Complete,29903,High,Homo sapiens,China / Hong Kong,Asia,China,Hong Kong
EPI_ISL_417197,GISAID,"EPI_ISL_417197, ",Complete,29903,High,Homo sapiens,China / Hong Kong,Asia,China,Hong Kong
MT226610,GenBank,"MT226610, ",Complete,29899,High,Homo sapiens,China,Asia,China,
EPI_ISL_417444,Genome Warehouse,"GWHACDD01000001,MT240479, EPI_ISL_417444",Complete,29836,High,Homo sapiens,Pakistan / Gilgit,Asia,Iran,Iran
EPI_ISL_414690,CNGBdb,"CNA0013715,EPI_ISL_414690",Complete,29858,High,Homo sapiens,China / Guangdong,Asia,China,Guangdong
EPI_ISL_417191,GISAID,"EPI_ISL_417191, ",Complete,29785,High,Homo sapiens,United States / Minnesota,North America,USA,Minnesota
EPI_ISL_417200,GISAID,"EPI_ISL_417200, ",Complete,29838,High,Homo sapiens,United States / Wisconsin / Dane,North America,USA,Wisconsin
EPI_ISL_417201,GISAID,"EPI_ISL_417201, ",Complete,29860,High,Homo sapiens,United States / Wisconsin / Dane,North America,USA,Wisconsin
EPI_ISL_417202,GISAID,"EPI_ISL_417202, ",Complete,29840,High,Homo sapiens,United States / Wisconsin / Dane,North America,USA,Wisconsin
EPI_ISL_417203,GISAID,"EPI_ISL_417203, ",Complete,29838,High,Homo sapiens,United States / Wisconsin / Dane,North America,USA,Wisconsin
EPI_ISL_417204,GISAID,"EPI_ISL_417204, ",Complete,29841,High,Homo sapiens,United States / Wisconsin / Dane,North America,USA,Wisconsin
EPI_ISL_417211,GISAID,"EPI_ISL_417211, ",Complete,29682,High,Homo sapiens,New Zealand / Otago,Oceania,New Zealand,Otago
EPI_ISL_417212,GISAID,"EPI_ISL_417212, ",Complete,29685,High,Homo sapiens,New Zealand / Otago,Oceania,New Zealand,Otago
EPI_ISL_417222,GISAID,"EPI_ISL_417222, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417226,GISAID,"EPI_ISL_417226, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417227,GISAID,"EPI_ISL_417227, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417231,GISAID,"EPI_ISL_417231, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417232,GISAID,"EPI_ISL_417232, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417233,GISAID,"EPI_ISL_417233, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417234,GISAID,"EPI_ISL_417234, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417235,GISAID,"EPI_ISL_417235, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417236,GISAID,"EPI_ISL_417236, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417240,GISAID,"EPI_ISL_417240, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417244,GISAID,"EPI_ISL_417244, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417246,GISAID,"EPI_ISL_417246, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417248,GISAID,"EPI_ISL_417248, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417252,GISAID,"EPI_ISL_417252, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417255,GISAID,"EPI_ISL_417255, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417256,GISAID,"EPI_ISL_417256, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417258,GISAID,"EPI_ISL_417258, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417260,GISAID,"EPI_ISL_417260, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417264,GISAID,"EPI_ISL_417264, ",Complete,29900,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417265,GISAID,"EPI_ISL_417265, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417266,GISAID,"EPI_ISL_417266, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417268,GISAID,"EPI_ISL_417268, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417272,GISAID,"EPI_ISL_417272, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417276,GISAID,"EPI_ISL_417276, ",Complete,29900,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417279,GISAID,"EPI_ISL_417279, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417280,GISAID,"EPI_ISL_417280, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417282,GISAID,"EPI_ISL_417282, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417283,GISAID,"EPI_ISL_417283, ",Complete,29900,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417285,GISAID,"EPI_ISL_417285, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417286,GISAID,"EPI_ISL_417286, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417289,GISAID,"EPI_ISL_417289, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417291,GISAID,"EPI_ISL_417291, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417293,GISAID,"EPI_ISL_417293, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417295,GISAID,"EPI_ISL_417295, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417297,GISAID,"EPI_ISL_417297, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417299,GISAID,"EPI_ISL_417299, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417301,GISAID,"EPI_ISL_417301, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417302,GISAID,"EPI_ISL_417302, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417311,GISAID,"EPI_ISL_417311, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417312,GISAID,"EPI_ISL_417312, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417313,GISAID,"EPI_ISL_417313, ",Complete,29904,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417315,GISAID,"EPI_ISL_417315, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_417318,GISAID,"EPI_ISL_417318, ",Complete,29903,High,Homo sapiens,United States / California / Santa Clara County,North America,USA,California
EPI_ISL_417320,GISAID,"EPI_ISL_417320, ",Complete,29903,High,Homo sapiens,United States / California / Santa Clara County,North America,USA,California
EPI_ISL_417330,GISAID,"EPI_ISL_417330, ",Complete,29903,High,Homo sapiens,United States / California / San Francisco County,North America,USA,California
EPI_ISL_417334,GISAID,"EPI_ISL_417334, ",Complete,29879,High,Homo sapiens,France / ARA,Europe,France,Auvergne-Rh么ne-Alpes
EPI_ISL_417335,GISAID,"EPI_ISL_417335, ",Complete,29876,High,Homo sapiens,France / ARA,Europe,France,Auvergne-Rh么ne-Alpes
EPI_ISL_417336,GISAID,"EPI_ISL_417336, ",Complete,29879,High,Homo sapiens,France / ARA,Europe,France,Auvergne-Rh么ne-Alpes
EPI_ISL_417337,GISAID,"EPI_ISL_417337, ",Complete,29879,High,Homo sapiens,France / ARA,Europe,France,Auvergne-Rh么ne-Alpes
EPI_ISL_417338,GISAID,"EPI_ISL_417338, ",Complete,29879,High,Homo sapiens,France / ARA,Europe,France,Auvergne-Rh么ne-Alpes
EPI_ISL_417339,GISAID,"EPI_ISL_417339, ",Complete,29879,High,Homo sapiens,France / ARA,Europe,France,Auvergne-Rh么ne-Alpes
EPI_ISL_417340,GISAID,"EPI_ISL_417340, ",Complete,29879,High,Homo sapiens,France / ARA,Europe,France,Auvergne-Rh么ne-Alpes
EPI_ISL_417341,GenBank,"MT246449,EPI_ISL_417341",Complete,29828,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417342,GenBank,"MT246450,EPI_ISL_417342",Complete,29872,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417343,GenBank,"MT246451,EPI_ISL_417343",Complete,29868,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417344,GenBank,"MT246452,EPI_ISL_417344",Complete,29888,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417345,GenBank,"MT246453,EPI_ISL_417345",Complete,29823,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417346,GenBank,"MT246454,EPI_ISL_417346",Complete,29892,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417347,GenBank,"MT246455,EPI_ISL_417347",Complete,29857,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417349,GenBank,"MT246457,EPI_ISL_417349",Complete,29843,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417351,GenBank,"MT246459,EPI_ISL_417351",Complete,29909,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417352,GenBank,"MT246460,EPI_ISL_417352",Complete,29917,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417353,GenBank,"MT246461,EPI_ISL_417353",Complete,29877,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417354,GenBank,"MT246462,EPI_ISL_417354",Complete,29903,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417356,GenBank,"MT246464,EPI_ISL_417356",Complete,29818,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417358,GenBank,"MT246466,EPI_ISL_417358",Complete,29897,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417359,GenBank,"MT246467,EPI_ISL_417359",Complete,29899,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417360,GenBank,"MT246468,EPI_ISL_417360",Complete,29843,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417361,GenBank,"MT246469,EPI_ISL_417361",Complete,29869,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417362,GenBank,"MT246470,EPI_ISL_417362",Complete,29860,High,Homo sapiens,United States / Connecticut,North America,USA,Connecticut
EPI_ISL_417363,GenBank,"MT246471,EPI_ISL_417363",Complete,29871,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417364,GenBank,"MT246472,EPI_ISL_417364",Complete,29810,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417365,GenBank,"MT246473,EPI_ISL_417365",Complete,29825,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417366,GenBank,"MT246474,EPI_ISL_417366",Complete,29884,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417367,GenBank,"MT246475,EPI_ISL_417367",Complete,29877,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417368,GenBank,"MT246476,EPI_ISL_417368",Complete,29863,High,Homo sapiens,United States,North America,USA,
EPI_ISL_417369,GenBank,"MT246477,EPI_ISL_417369",Complete,29886,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417370,GenBank,"MT246478,EPI_ISL_417370",Complete,29889,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417371,GenBank,"MT246479,EPI_ISL_417371",Complete,29828,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417372,GenBank,"MT246480,EPI_ISL_417372",Complete,29904,High,Homo sapiens,United States / Connecticut,North America,USA,Connecticut
EPI_ISL_417373,GenBank,"MT246481,EPI_ISL_417373",Complete,29873,High,Homo sapiens,United States / Connecticut,North America,USA,Connecticut
EPI_ISL_417374,GenBank,"MT246482,EPI_ISL_417374",Complete,29844,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417376,GenBank,"MT246484,EPI_ISL_417376",Complete,29870,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417377,GenBank,"MT246485,EPI_ISL_417377",Complete,29775,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417378,GenBank,"MT246486,EPI_ISL_417378",Complete,29867,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417379,GenBank,"MT246487,EPI_ISL_417379",Complete,29883,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417380,GenBank,"MT246488,EPI_ISL_417380",Complete,29842,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417381,GenBank,"MT246489,EPI_ISL_417381",Complete,29864,High,Homo sapiens,United States / Idaho,North America,USA,Washington
EPI_ISL_417382,GenBank,"MT246490,EPI_ISL_417382",Complete,29850,High,Homo sapiens,United States / Idaho,North America,USA,Washington
EPI_ISL_417383,GISAID,"EPI_ISL_417383, ",Complete,29782,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417384,GISAID,"EPI_ISL_417384, ",Complete,29782,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417385,GISAID,"EPI_ISL_417385, ",Complete,29782,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417386,GISAID,"EPI_ISL_417386, ",Complete,29782,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417387,GISAID,"EPI_ISL_417387, ",Complete,29782,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417388,GISAID,"EPI_ISL_417388, ",Complete,29782,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417389,GISAID,"EPI_ISL_417389, ",Complete,29782,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417390,GISAID,"EPI_ISL_417390, ",Complete,29782,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417391,GISAID,"EPI_ISL_417391, ",Complete,29782,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417392,GISAID,"EPI_ISL_417392, ",Complete,29785,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417393,GISAID,"EPI_ISL_417393, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417394,GISAID,"EPI_ISL_417394, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417395,GISAID,"EPI_ISL_417395, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417396,GISAID,"EPI_ISL_417396, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417397,GISAID,"EPI_ISL_417397, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417398,GISAID,"EPI_ISL_417398, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417399,GISAID,"EPI_ISL_417399, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417400,GISAID,"EPI_ISL_417400, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417401,GISAID,"EPI_ISL_417401, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417402,GISAID,"EPI_ISL_417402, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417403,GISAID,"EPI_ISL_417403, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417404,GISAID,"EPI_ISL_417404, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417405,GISAID,"EPI_ISL_417405, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417406,GISAID,"EPI_ISL_417406, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417407,GISAID,"EPI_ISL_417407, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417408,GISAID,"EPI_ISL_417408, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417409,GISAID,"EPI_ISL_417409, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417410,GISAID,"EPI_ISL_417410, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417411,GISAID,"EPI_ISL_417411, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417412,GISAID,"EPI_ISL_417412, ",Complete,29409,High,Homo sapiens,Australia / New South Wales / Sydney,Oceania,Australia,New South Wales
EPI_ISL_417418,GISAID,"EPI_ISL_417418, ",Complete,29946,High,Homo sapiens,Italy / Friuli Venezia Giulia,Europe,Italy,Friuli Venezia Giulia
EPI_ISL_417419,GISAID,"EPI_ISL_417419, ",Complete,29944,High,Homo sapiens,Italy / Friuli Venezia Giulia,Europe,Italy,Friuli Venezia Giulia
EPI_ISL_417420,GISAID,"EPI_ISL_417420, ",Complete,29866,High,Homo sapiens,China / Jiangxi / NanChang,Asia,China,Jiangxi
EPI_ISL_417421,GISAID,"EPI_ISL_417421, ",Complete,29977,High,Homo sapiens,Italy / Friuli Venezia Giulia,Europe,Italy,Friuli Venezia Giulia
EPI_ISL_417422,GISAID,"EPI_ISL_417422, ",Complete,29817,High,Homo sapiens,Belgium / Dilbeek,Europe,Belgium,Dilbeek
EPI_ISL_417423,GISAID,"EPI_ISL_417423, ",Complete,29891,High,Homo sapiens,Italy / Friuli Venezia Giulia,Europe,Italy,Friuli Venezia Giulia
EPI_ISL_417424,GISAID,"EPI_ISL_417424, ",Complete,29817,High,Homo sapiens,Belgium / Kasterlee,Europe,Belgium,Kasterlee
EPI_ISL_417425,GISAID,"EPI_ISL_417425, ",Complete,29817,High,Homo sapiens,Belgium / Schoten,Europe,Belgium,Schoten
EPI_ISL_417426,GISAID,"EPI_ISL_417426, ",Complete,29816,High,Homo sapiens,Belgium / Leuven,Europe,Belgium,Leuven
EPI_ISL_417427,GISAID,"EPI_ISL_417427, ",Complete,29817,High,Homo sapiens,Belgium / Sint-Pieters-Woluwe,Europe,Belgium,Sint-Pieters-Woluwe
EPI_ISL_417428,GISAID,"EPI_ISL_417428, ",Complete,29816,High,Homo sapiens,Belgium / Rixensart,Europe,Belgium,Rixensart
EPI_ISL_417429,GISAID,"EPI_ISL_417429, ",Complete,29816,High,Homo sapiens,Belgium / Holsbeek,Europe,Belgium,Holsbeek
EPI_ISL_417430,GISAID,"EPI_ISL_417430, ",Complete,29816,High,Homo sapiens,Belgium / Vorst,Europe,Belgium,Vorst
MT259226,Genome Warehouse,"GWHACDE01000001,MT259226",Complete,29868,High,Homo sapiens,China / Hubei / Wuhan,Asia,China, Wuhan
MT259227,Genome Warehouse,"GWHACDF01000001,MT259227",Complete,29863,High,Homo sapiens,China / Hubei / Wuhan,Asia,China, Wuhan
MT259228,Genome Warehouse,"GWHACDG01000001,MT259228",Complete,29861,High,Homo sapiens,China / Hubei / Wuhan,Asia,China, Wuhan
MT259229,Genome Warehouse,"GWHACDH01000001,MT259229",Complete,29864,High,Homo sapiens,China / Hubei / Wuhan,Asia,China, Wuhan
MT259230,Genome Warehouse,"GWHACDI01000001,MT259230",Complete,29866,High,Homo sapiens,China / Hubei / Wuhan,Asia,China, Wuhan
MT259231,Genome Warehouse,"GWHACDJ01000001,MT259231",Complete,29865,High,Homo sapiens,China / Hubei / Wuhan,Asia,China, Wuhan
EPI_ISL_417413,GISAID,"EPI_ISL_417413, ",Complete,29903,High,Homo Sapiens,Turkey,Europe,Turkey,
EPI_ISL_417437,GISAID,"EPI_ISL_417437, ",Complete,29902,High,Homo Sapiens,Congo / Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa
EPI_ISL_417447,GISAID,"EPI_ISL_417447, ",Complete,29841,High,Homo Sapiens,Italy / Lombardy / Milan,Europe,Italy,Lombardy
EPI_ISL_417448,GenBank,"MT251977,EPI_ISL_417448",Complete,29829,High,Homo Sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417449,GenBank,"MT251978,EPI_ISL_417449",Complete,29906,High,Homo Sapiens,United States / Idaho,North America,USA,Washington
EPI_ISL_417450,GenBank,"MT251972,EPI_ISL_417450",Complete,29861,High,Homo Sapiens,United States / Idaho,North America,USA,Washington
EPI_ISL_417451,GenBank,"MT251973,EPI_ISL_417451",Complete,29871,High,Homo Sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417452,GenBank,"MT251974,EPI_ISL_417452",Complete,29852,High,Homo Sapiens,United States / Washington,North America,USA,Connecticut
EPI_ISL_417453,GenBank,"MT251975,EPI_ISL_417453",Complete,29875,High,Homo Sapiens,United States / Idaho,North America,USA,Washington
EPI_ISL_417454,GenBank,"MT251976,EPI_ISL_417454",Complete,29900,High,Homo Sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417455,GenBank,"MT251979,EPI_ISL_417455",Complete,29839,High,Homo Sapiens,United States / Idaho,North America,USA,Washington
EPI_ISL_417456,GenBank,"MT251980,EPI_ISL_417456",Complete,29845,High,Homo Sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_417457,GISAID,"EPI_ISL_417457,EPI_ISL_419529",Complete,29903,High,Homo Sapiens,Germany / Duesseldorf,Europe,Germany,Duesseldorf
EPI_ISL_417458,GISAID,"EPI_ISL_417458,EPI_ISL_419530",Complete,29903,High,Homo Sapiens,Germany / Duesseldorf,Europe,Germany,Duesseldorf
EPI_ISL_417459,GISAID,"EPI_ISL_417459,EPI_ISL_419531",Complete,29903,High,Homo Sapiens,Germany / Duesseldorf,Europe,Germany,Duesseldorf
EPI_ISL_417460,GISAID,"EPI_ISL_417460,EPI_ISL_419532",Complete,29903,High,Homo Sapiens,Germany / Duesseldorf,Europe,Germany,Duesseldorf
EPI_ISL_417461,GISAID,"EPI_ISL_417461,EPI_ISL_419533",Complete,29903,High,Homo Sapiens,Germany / Duesseldorf,Europe,Germany,Duesseldorf
EPI_ISL_417462,GISAID,"EPI_ISL_417462,EPI_ISL_419534",Complete,29903,High,Homo Sapiens,Germany / Duesseldorf,Europe,Germany,Duesseldorf
EPI_ISL_417463,GISAID,"EPI_ISL_417463,EPI_ISL_419535",Complete,29903,High,Homo Sapiens,Germany / Duesseldorf,Europe,Germany,Duesseldorf
EPI_ISL_417464,GISAID,"EPI_ISL_417464,EPI_ISL_419536",Complete,29903,High,Homo Sapiens,Germany / Duesseldorf,Europe,Germany,Duesseldorf
EPI_ISL_417465,GISAID,"EPI_ISL_417465,EPI_ISL_419537",Complete,29903,High,Homo Sapiens,Germany / Duesseldorf,Europe,Germany,Duesseldorf
EPI_ISL_417466,GISAID,"EPI_ISL_417466,EPI_ISL_419538",Complete,29903,High,Homo Sapiens,Germany / Duesseldorf,Europe,Germany,Duesseldorf
EPI_ISL_417467,GISAID,"EPI_ISL_417467,EPI_ISL_419539",Complete,29903,High,Homo Sapiens,Germany / Duesseldorf,Europe,Germany,Duesseldorf
EPI_ISL_417468,GISAID,"EPI_ISL_417468,EPI_ISL_419540",Complete,29903,High,Homo Sapiens,Germany / Duesseldorf,Europe,Germany,Duesseldorf
EPI_ISL_417469,GISAID,"EPI_ISL_417469, ",Complete,29781,High,Homo Sapiens,United States / Minnesota,North America,USA,Minnesota
EPI_ISL_417470,GISAID,"EPI_ISL_417470, ",Complete,29782,High,Homo Sapiens,United States / Minnesota,North America,USA,Minnesota
EPI_ISL_417471,GISAID,"EPI_ISL_417471, ",Complete,29783,High,Homo Sapiens,United States / Minnesota,North America,USA,Minnesota
EPI_ISL_417472,GISAID,"EPI_ISL_417472, ",Complete,29785,High,Homo Sapiens,United States / Minnesota,North America,USA,Minnesota
EPI_ISL_417473,GISAID,"EPI_ISL_417473, ",Complete,29783,High,Homo Sapiens,United States / Minnesota,North America,USA,Minnesota
EPI_ISL_417474,GISAID,"EPI_ISL_417474, ",Complete,29782,High,Homo Sapiens,United States / Minnesota,North America,USA,Minnesota
EPI_ISL_417475,GISAID,"EPI_ISL_417475, ",Complete,29784,High,Homo Sapiens,United States / Minnesota,North America,USA,Minnesota
EPI_ISL_417476,GISAID,"EPI_ISL_417476, ",Complete,29782,High,Homo Sapiens,United States / Minnesota,North America,USA,Minnesota
